"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/31/2021","AirNow","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/02/2021","AirNow","510330001","1","0.038","ppm","35","USGS Geomagnetic Center, Corbin","23","96.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/03/2021","AirNow","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/04/2021","AirNow","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/05/2021","AirNow","510330001","1","0.04","ppm","37","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/06/2021","AirNow","510330001","1","0.037","ppm","34","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/07/2021","AirNow","510330001","1","0.034","ppm","31","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/08/2021","AirNow","510330001","1","0.038","ppm","35","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/09/2021","AirNow","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/10/2021","AirNow","510330001","1","0.028","ppm","26","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/11/2021","AirNow","510330001","1","0.029","ppm","27","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/12/2021","AirNow","510330001","1","0.036","ppm","33","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/13/2021","AirNow","510330001","1","0.027","ppm","25","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/14/2021","AirNow","510330001","1","0.028","ppm","26","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/15/2021","AirNow","510330001","1","0.025","ppm","23","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/16/2021","AirNow","510330001","1","0.03","ppm","28","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/17/2021","AirNow","510330001","1","0.033","ppm","31","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/18/2021","AirNow","510330001","1","0.03","ppm","28","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/19/2021","AirNow","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/20/2021","AirNow","510330001","1","0.045","ppm","42","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/21/2021","AirNow","510330001","1","0.046","ppm","43","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/22/2021","AirNow","510330001","1","0.038","ppm","35","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/23/2021","AirNow","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/24/2021","AirNow","510330001","1","0.046","ppm","43","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/25/2021","AirNow","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/26/2021","AirNow","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/27/2021","AirNow","510330001","1","0.034","ppm","31","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"02/28/2021","AirNow","510330001","1","0.028","ppm","26","USGS Geomagnetic Center, Corbin","24","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/01/2021","AQS","510330001","1","0.036","ppm","33","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/02/2021","AQS","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/03/2021","AQS","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/04/2021","AQS","510330001","1","0.044","ppm","41","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/05/2021","AQS","510330001","1","0.042","ppm","39","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/06/2021","AQS","510330001","1","0.043","ppm","40","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/07/2021","AQS","510330001","1","0.044","ppm","41","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/08/2021","AQS","510330001","1","0.048","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/09/2021","AQS","510330001","1","0.053","ppm","49","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/10/2021","AQS","510330001","1","0.058","ppm","61","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/11/2021","AQS","510330001","1","0.055","ppm","51","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/12/2021","AQS","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/13/2021","AQS","510330001","1","0.048","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/14/2021","AQS","510330001","1","0.048","ppm","44","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/15/2021","AQS","510330001","1","0.041","ppm","38","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/16/2021","AQS","510330001","1","0.034","ppm","31","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/17/2021","AQS","510330001","1","0.035","ppm","32","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/18/2021","AQS","510330001","1","0.026","ppm","24","USGS Geomagnetic Center, Corbin","17","100.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
"03/19/2021","AQS","510330001","1","0.039","ppm","36","USGS Geomagnetic Center, Corbin","16","94.0000","44201","Ozone","40060","Richmond, VA","51","Virginia","033","Caroline","38.200870000917","-77.37742"
