"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2021","AQS","517600025","1","15.3","ppb","14","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/06/2021","AQS","517600025","1","11.1","ppb","10","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/07/2021","AQS","517600025","1","29.4","ppb","27","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/08/2021","AQS","517600025","1","23.9","ppb","22","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/09/2021","AQS","517600025","1","5","ppb","5","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/10/2021","AQS","517600025","1","34.9","ppb","32","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/11/2021","AQS","517600025","1","34.8","ppb","32","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/12/2021","AQS","517600025","1","37.4","ppb","35","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/13/2021","AQS","517600025","1","44.1","ppb","42","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/14/2021","AQS","517600025","1","43.8","ppb","41","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/15/2021","AQS","517600025","1","33.4","ppb","31","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/16/2021","AQS","517600025","1","14.3","ppb","13","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/17/2021","AQS","517600025","1","26.2","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/18/2021","AQS","517600025","1","27.7","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/19/2021","AQS","517600025","1","38.7","ppb","36","Bryan Park","21","88.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/20/2021","AQS","517600025","1","34.4","ppb","32","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/21/2021","AQS","517600025","1","34.5","ppb","32","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/22/2021","AQS","517600025","1","24.7","ppb","23","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/23/2021","AQS","517600025","1","27.2","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/24/2021","AQS","517600025","1","25.6","ppb","24","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/26/2021","AQS","517600025","1","18.3","ppb","17","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/27/2021","AQS","517600025","1","22.6","ppb","21","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/28/2021","AQS","517600025","1","7.6","ppb","7","Bryan Park","22","92.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/29/2021","AQS","517600025","1","20.8","ppb","19","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/30/2021","AQS","517600025","1","35.4","ppb","33","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"01/31/2021","AQS","517600025","1","26.7","ppb","25","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/01/2021","AQS","517600025","1","8.3","ppb","8","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/02/2021","AQS","517600025","1","6.3","ppb","6","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/03/2021","AQS","517600025","1","12.5","ppb","11","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/04/2021","AQS","517600025","1","47.3","ppb","44","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/05/2021","AQS","517600025","1","30.7","ppb","28","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/06/2021","AQS","517600025","1","34.2","ppb","32","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/07/2021","AQS","517600025","1","27.7","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/08/2021","AQS","517600025","1","35.1","ppb","33","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/09/2021","AQS","517600025","1","35.3","ppb","33","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/10/2021","AQS","517600025","1","26.3","ppb","25","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/11/2021","AQS","517600025","1","23.2","ppb","22","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/12/2021","AQS","517600025","1","24.8","ppb","23","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/18/2021","AQS","517600025","1","18.9","ppb","17","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/19/2021","AQS","517600025","1","24.8","ppb","23","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/20/2021","AQS","517600025","1","13.6","ppb","12","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/21/2021","AQS","517600025","1","31.8","ppb","29","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/22/2021","AQS","517600025","1","37.3","ppb","35","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/23/2021","AQS","517600025","1","46.2","ppb","43","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/24/2021","AQS","517600025","1","43.7","ppb","41","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/25/2021","AQS","517600025","1","39.2","ppb","37","Bryan Park","24","100.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
"02/26/2021","AQS","517600025","1","28.2","ppb","26","Bryan Park","23","96.0000","42602","Nitrogen dioxide (NO2)","40060","Richmond, VA","51","Virginia","760","Richmond City","37.59088","-77.46925"
