"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/09/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/10/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/11/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/12/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/13/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/14/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/15/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/16/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/17/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/18/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/19/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/20/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/21/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/22/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/23/2021","AQS","510870014","1","0.5","ppm","6","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/24/2021","AQS","510870014","1","0.8","ppm","9","MathScience Innovation Center","17","71.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/25/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","21","88.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/26/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"02/27/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
